Season,#,Title,Directed,Written,Airdate,Description
1,1,"""The Gang Gets Racist""",John Fortenberry,Charlie Day & Rob McElhenney,2005/08/04,"Charlie and Mac try to prove that they are not racist after Charlie's crush overhears Charlie saying something offensive about African Americans. Meanwhile, Dee hires a black man from her acting class to boost business for Paddy's Pub—and ends up turning the pub into a gay bar."
1,2,"""Charlie Wants an Abortion""",John Fortenberry,Charlie Day & Rob McElhenney,2005/08/11,"Charlie gets a paternity test to prove that he's not the father of his old flame's ill-behaved son. Meanwhile, Mac and Dennis feign being against abortion so they can pick up women."
1,3,"""Underage Drinking: A National Concern""",Dan Attias,Rob McElhenney,2005/08/16,"When Mac decides to make Paddy's Pub a safe haven for underage drinkers, it becomes high school all over again as Dee, Dennis, and Charlie get asked to the prom."
1,4,"""Charlie Has Cancer""",Rob McElhenney,Rob McElhenney,2005/08/23,Dennis and Mac help Charlie find someone to sleep with him after Charlie announces that he's dying of cancer.
1,5,"""Gun Fever""",Dan Attias,Glenn Howerton,2005/08/30,"Everyone gets trigger happy when, in the wake of a robbery, the guys buy a gun, and Dee unknowingly dates the prime suspect."
1,6,"""The Gang Finds a Dead Guy""",Dan Attias,Rob McElhenney,2005/09/06,"When an old man is found dead in Paddy's, Mac and Dennis vie for the affection of his attractive granddaughter, while Charlie discovers that Dennis and Dee's grandfather was a Nazi."
1,7,"""Charlie Got Molested""",John Fortenberry,Rob McElhenney,2005/09/13,"When news of a former gym teacher getting arrested for molesting his students hits, Charlie suddenly gets nervous, Dee and Dennis conclude that Charlie may have been one of the gym teacher's victims. Mac becomes jealous that he wasn't the one who got molested."
2,1,"""Charlie Gets Crippled""",John Fortenberry,Rob McElhenney,2006/06/29,"Dennis and Dee's father Frank abruptly appears, causing Dennis to accidentally run Charlie over with his car. After seeing Charlie get attention from strippers over being in a wheelchair, the gang decides to feign disabilities in order to garner sympathy from others."
2,2,"""The Gang Goes Jihad""",Dan Attias,Rob McElhenney,2006/06/29,"An Israeli businessman claims ownership of the street that Paddy's Pub is on, prompting the gang to go to extremes to get the man to leave. Meanwhile, Frank fights with his ex-wife over the possessions she got in the divorce."
2,3,"""The Gang Gives Back""",Dan Attias,Charlie Day,2006/07/20,"Mac, Dennis and Dee are sentenced to teach inner-city children how to play basketball while Charlie is sentenced to attend AA meetings."
2,4,"""Dennis and Dee Go on Welfare""",Dan Attias,Rob McElhenney,2006/07/06,"Dennis and Dee quit their jobs to pursue their dreams, but get hooked on crack cocaine so they can apply for welfare. Meanwhile, Frank hires two new workers under the ""Work for Welfare"" program and Charlie and Mac go on a spending spree with the money in Frank's secret bank account."
2,5,"""Mac Bangs Dennis' Mom""",Dan Attias,Charlie Day & Glenn Howerton,2006/07/06,A visit to Frank's ex-wife's house turns into a web of back-stabbing and deception after Mac has sex with Dennis's mother and Charlie hatches a plan to get close to The Waitress.
2,6,"""The Gang Runs for Office""",Dan Attias,David Hornsby,2006/08/03,"After realizing the money-making potential of political corruption, the gang decides to help Dennis run for the position of a local comptroller."
2,7,"""Hundred Dollar Baby""",Dan Attias,"Rob McElhenney, Charlie Day & Glenn Howerton",2006/07/13,"Frank trains Dee for a boxing match against the daughter of his old boxing foe. Meanwhile, Dennis and Mac train Charlie for an underground fighting ring."
2,8,"""Charlie Goes America All Over Everybody's Ass""",Dan Attias,Rob McElhenney & Charlie Day,2006/08/10,"Charlie is outraged over Dennis smoking in the bar, and teams up with Dee to start an anti-smoking rally. Meanwhile, Mac, Dennis, and Frank turn Paddy's Pub into an ""anything goes"" bar."
2,9,"""The Gang Exploits A Miracle""",Dan Attias,"Charlie Day, Chris Romano & Eric Falconer",2006/07/27,"When the gang finds a water stain in the office that resembles the Virgin Mary, Frank begins charging patrons to see the miracle."
2,10,"""Dennis and Dee Get a New Dad""",Dan Attias,Rob McElhenney,2006/08/17,"Dennis and Dee discover the MySpace page of the man who turns out to be their real father. Meanwhile, Charlie and Mac visit Mac's convict father in jail."
3,1,"""The Gang Finds a Dumpster Baby""",Jerry Levine,Rob McElhenney & Charlie Day,2007/09/13,Dennis joins up with an environmentalist group. Mac and Dee try to care for a baby boy they found in the Dumpster and Charlie and Frank become dumpster divers.
3,2,"""The Gang Gets Invincible""",Fred Savage,"Charlie Day, David Hornsby & Glenn Howerton",2007/09/13,"When the Philadelphia Eagles hold open try-outs à la the movie Invincible, Mac, Dennis, and Dee use the event for their own personal competition. Meanwhile, Frank and Charlie tailgate."
3,3,"""Dennis and Dee's Mom Is Dead""",Matt Shakman,David Hornsby & Rob McElhenney,2007/09/20,"Frank's ex-wife Barbara dies, leaving behind a big inheritance that Frank and Dee will do anything to get. Meanwhile, Mac, Dennis, and Charlie use Reynolds house as a men's club to make new friends."
3,4,"""The Gang Gets Held Hostage""",Fred Savage,Rob McElhenney & Lisa Parsons,2007/09/20,"Paddy's Pub is held hostage by the McPoyles. Meanwhile, Frank crawls through the vents to find his will, which Charlie hid."
3,5,"""The Aluminum Monster vs. Fatty Magoo""",Fred Savage,Charlie Day & Glenn Howerton,2007/09/27,"The gang gets involved in the seedy side of the world of fashion design after Dee gets jealous of her former high-school best friend, who is now a successful boutique owner."
3,6,"""The Gang Solves the North Korea Situation""",Fred Savage,"Charlie Day, Scott Marder & Rob Rosell",2007/09/27,The gang find themselves at odds with a more successful Korean pub owner who bears a striking resemblance to Kim Jong-Il. Charlie also becomes involved with the owner's daughter.
3,7,"""The Gang Sells Out""",Matt Shakman,Charlie Day & David Hornsby,2007/10/04,"The gang tries to persuade a restaurant chain to buy their pub. Meanwhile, Dee quits her job at Paddy's (again) and pressures The Waitress to get her a job at a TGIFriday's-style restaurant."
3,8,"""Frank Sets Sweet Dee on Fire""",Fred Savage,"Rob McElhenney, Scott Marder & Rob Rosell",2007/10/04,"The gang go to great lengths to be famous: Mac, Charlie, and Frank attempt to become news reporters; Dennis and Dee try becoming club-hoppers."
3,9,"""Sweet Dee's Dating a Retarded Person""",Jerry Levine,"Glenn Howerton, Scott Marder & Rob Rosell",2007/10/11,"Dee begins dating an amateur rapper whom Dennis thinks is mentally retarded. Meanwhile, Frank, Charlie, and Mac start their own band but can't agree on what type of music they should play."
3,10,"""Mac Is a Serial Killer""",Jerry Levine,Charlie Day & David Hornsby,2007/10/18,"After reading about a serial killer terrorizing young women, the gang suspects that Mac may be the serial killer when they notice that he hasn't been to the bar much lately."
3,11,"""Dennis Looks Like a Registered Sex Offender""",Jerry Levine,Rob McElhenney,2007/10/25,"Dennis's life goes downhill when he finds out that a convicted sex offender whom he closely resembles has been released from prison due to overcrowding. Meanwhile, Mac and Charlie reunite with Mac's convict father."
3,12,"""The Gang Gets Whacked (Part 1)""",Matt Shakman,"Glenn Howerton, Scott Marder & Rob Rosell",2007/11/01,"The gang find themselves married to the mob when they sell a bag of cocaine that a group of mobsters hid in a pair of speakers. To pay off the debt, Frank whores out Dennis to older women, Charlie works at a stable, and Mac becomes a mafioso."
3,13,"""The Gang Gets Whacked (Part 2)""",Matt Shakman,Scott Marder & Rob Rosell,2007/11/01,"The gang must find a way to avoid getting ""whacked"" when their plans to pay off mob members for missing cocaine go awry."
3,14,"""Bums: Making a Mess All Over the City""",Jerry Levine,Charlie Day & David Hornsby,2007/11/08,Mac and Dee become vigilantes to solve the homeless problem Frank and Dennis dress up in police costumes while Charlie dresses as Serpico to expose them.
3,15,"""The Gang Dances Their Asses Off""",Matt Shakman,"David Hornsby, Scott Marder & Rob Rosell",2007/11/15,"Charlie inadvertently puts Paddy's Pub up as the grand prize in a radio dance marathon, so the gang must win the competition -- against the enemies they've made so far -- to keep the bar."
4,1,"""Mac and Dennis: Manhunters""",Fred Savage,"Charlie Day, Jordan Young & Elijah Aron",2008/09/18,Charlie and Dee freak out when they eat what they think is human meat. Mac and Dennis take up hunting and go after the most dangerous prey of all -- man.
4,2,"""The Gang Solves the Gas Crisis""",Matt Shakman,"Charlie Day, Sonny Lee & Patrick Walsh",2008/09/18,"To profit from high gas prices, Mac, Dennis, and Charlie fill barrels of gasoline and sell them door-to-door. Dee and Frank plot to brand Bruce Mathis a terrorist."
4,3,"""America's Next Top Paddy's Billboard Model Contest""",Fred Savage,"Rob McElhenney, Charlie Day & Adam Stein",2008/09/25,Mac and Frank hold a contest where the winner will be the billboard model for Paddy's. Charlie and Dee set out to create a viral video.
4,4,"""Mac's Banging the Waitress""",Matt Shakman,David Hornsby,2008/09/25,"When Charlie learns that The Waitress has a boyfriend, he enlists Mac's help in catching the guy so Charlie can beat him up. Trouble is, Mac is the one who's dating the waitress."
4,5,"""Mac and Charlie Die (Part 1)""",Fred Savage & Matt Shakman,"Charlie Day, Glenn Howerton & Rob McElhenney",2008/10/02,Mac's revenge-obsessed father is released from prison and Mac and Charlie fake their deaths to save their lives. Frank and Dennis discover a glory hole in the bathroom.
4,6,"""Mac and Charlie Die (Part 2)""",Fred Savage,"Charlie Day, Glenn Howerton & Rob McElhenney",2008/10/02,Mac and Charlie continue their misadventures in avoiding Luther Mac. Dennis and Frank investigate the world of anonymous sex.
4,7,"""Who Pooped the Bed?""",Fred Savage,"Rob McElhenney, Scott Marder & Rob Rosell",2008/10/09,"Frank and Charlie find that someone has defecated in their bed and hunt for the culprit. Meanwhile, Dee leads a ""Sex and the City"" style night on the town."
4,8,"""Paddy's Pub: The Worst Bar in Philadelphia""",Matt Shakman,"Scott Marder, Rob Rosell & David Hornsby",2008/10/16,"The gang kidnaps a newspaper critic who dubbed Paddy's Pub ""the worst bar in Philadelphia""."
4,9,"""Dennis Reynolds: An Erotic Life""",Fred Savage,"Glenn Howerton, Scott Marder & Rob Rosell",2008/10/23,Dennis plans on publishing an account of his sexual exploits and ends up in a rehab facility. Charlie and Dee try on each other's lives for size.
4,10,"""Sweet Dee Has a Heart Attack""",Matt Shakman,Scott Marder & Rob Rosell,2008/10/30,"After Dee is hospitalized for a heart attack, she and Dennis try to adopt a healthier lifestyle. Charlie and Mac become office workers to get on-the-job health insurance."
4,11,"""The Gang Cracks the Liberty Bell""",Matt Shakman,"Rob McElhenney, Glenn Howerton & David Hornsby",2008/11/06,"In an attempt to turn their bar into a Philadelphia landmark, the gang tells the story of how Paddy's Pub was historically relevant during the Revolutionary War."
4,12,"""The Gang Gets Extreme: Home Makeover Edition""",Fred Savage,"Charlie Day, David Hornsby & Glenn Howerton",2008/11/13,The gang redecorates a poor family's home a la Extreme Makeover: Home Edition.
4,13,"""The Nightman Cometh""",Matt Shakman,"Rob McElhenney, Glenn Howerton & Charlie Day",2008/11/20,"Charlie stages a rock opera based on his song ""The Nightman,"" and recruits the rest of the gang to help him with it."
5,1,"""The Gang Exploits the Mortgage Crisis""",Randall Einhorn,Becky Mann & Audra Sielaff,2009/09/17,"Frank, Mac, and Dennis try their hand at real estate. Dee arranges to be a surrogate mother. Charlie tries his hand at law."
5,2,"""The Gang Hits the Road""",Fred Savage,Glenn Howerton & Charlie Day,2009/09/24,The Gang tries to expand their horizons by going on a road trip to the Grand Canyon.
5,3,"""The Great Recession""",Fred Savage,David Hornsby,2009/10/01,Mac and Dennis try to keep the bar afloat in the tough economic times; Frank starts a family business with Dee; newly poor people gather outside the bar.
5,4,"""The Gang Gives Frank an Intervention""",Fred Savage,Scott Marder & Rob Rosell,2009/10/08,"Dee, Dennis, and Charlie attempt to stage an intervention on Frank, who they feel is no longer fun to drink with. Meanwhile, Frank attempts to bang Aunt Donna, who Mac is also interested in banging."
5,5,"""The Waitress Is Getting Married""",Fred Savage,Glenn Howerton & Charlie Day,2009/10/15,"The Waitress is getting married; Dee, jealous that she's beating her to the altar, tries to derail the wedding. Charlie reluctantly tries online dating."
5,6,"""The World Series Defense""",Randall Einhorn,David Hornsby,2009/10/22,"The Gang describes the trials and tribulations they went through during Game 5 of the World Series, hoping that the judge will clear them of all the citations they received."
5,7,"""The Gang Wrestles for the Troops""",Randall Einhorn,Scott Marder & Rob Rosell,2009/10/29,"The Gang puts on a wrestling show for the returning troops. Meanwhile, the soldier Dee has been chatting with online is not what she expected."
5,8,"""Paddy's Pub: Home of the Original Kitten Mittens""",Randall Einhorn,Sonny Lee & Patrick Walsh,2009/11/05,"When a merchandising convention comes to town, the gang tries to develop marketable products in an attempt to build the Paddy's brand."
5,9,"""Mac and Dennis Break Up""",Fred Savage,Scott Marder & Rob Rosell,2009/11/12,Mac and Dennis decide to spend some time apart; Charlie lends his feline expertise to help Dee find her cat.
5,10,"""The D.E.N.N.I.S. System""",Randall Einhorn,"David Hornsby, Scott Marder & Rob Rosell",2009/11/19,"Dennis reveals his foolproof system for seducing any woman to the rest of the gang, but they don't grasp the concept."
5,11,"""Mac and Charlie Write a Movie""",Randall Einhorn,Glenn Howerton & Rob McElhenney,2009/12/03,"When Dee gets a part in the new M. Night Shyamalan film, Mac and Charlie seize a chance to pitch their movie script."
5,12,"""The Gang Reignites the Rivalry""",Randall Einhorn,Dave Chernin & Charlie Day,2009/12/10,"After being banned for 10 years from a local drinking competition appropriately named ""Flipadelphia,"" the gang tries to reignite their old rivalry with another local bar."
5,13,"""A Very Sunny Christmas""",Fred Savage,Charlie Day & Rob McElhenney,"December 16, 2010 / November 17, 2009","Mac, Charlie, Dennis, Dee, and Frank embark on a holiday adventure filled with stolen toys, childhood videos, naked elves, and a bloody run-in with Santa Claus."
6,1,"""Mac Fights Gay Marriage""",Randall Einhorn,Becky Mann & Audra Sielaff,2010/09/16,"Mac pulls out the big guns to protect the sanctity of marriage, while the rest of the gang reaps the rewards of marital bliss."
6,2,"""Dennis Gets Divorced""",Randall Einhorn,Dave Chernin & John Chernin,2010/09/23,"Marital bliss turns to marital business, as the gang experiences the emotional and economic tribulations of divorce."
6,3,"""The Gang Buys a Boat""",Randall Einhorn,Charlie Day & Rob McElhenney,2010/09/30,The gang attempts to find adventure on the sea after they purchase their 'new' boat.
6,4,"""Mac's Big Break""",Randall Einhorn,Rob Rosell,2010/10/07,"After correctly answering a radio trivia question, Mac finally makes it big. Meanwhile, the Reynolds start their own internet podcast."
6,5,"""Mac and Charlie: White Trash""",Randall Einhorn,Luvh Rakhe,2010/10/14,Mac and Charlie try to fix up an abandoned pool in order to beat the heat wave; Dennis and Dee try to beat the heat in a more 'dignified' and 'upper-class' way.
6,6,"""Mac's Mom Burns Her House Down""",Matt Shakman,Scott Marder & Rob Rosell,2010/10/21,Charlie and Mac set-up a truly odd couple after Mac's mom burns the house down; Frank discovers the importance of paternal care when Dee falls ill.
6,7,"""Who Got Dee Pregnant?""",Randall Einhorn,Charlie Day & Rob McElhenney,2010/10/28,"The gang gets a real 'scare' after Dee reveals she's pregnant, forcing the guys to recall their last hazy Halloween Party to determine if one of them might be the father."
6,8,"""The Gang Gets a New Member""",Matt Shakman,David Hornsby,2010/11/04,A blast from the past prompts the guys to expand membership and Dee to re-consider her future.
6,9,"""Dee Reynolds: Shaping America's Youth""",Matt Shakman,David Hornsby,2010/11/11,Dee takes a job as a substitute teacher and exposes her students to the culture of Paddy's with a field trip to see the Gang's take on Lethal Weapon 5.
6,10,"""Charlie Kelly: King of the Rats""",Matt Shakman,Scott Marder & Rob Rosell,2010/11/18,Keeping the basement rodent-free drives Charlie to the brink; the gang throws Charlie a surprise party.
6,11,"""The Gang Gets Stranded in the Woods""",Matt Shakman,"Luvh Rakhe, Scott Marder & Rob Rosell",2010/12/02,"Things go awry as the Gang travels to Atlantic City for a charity benefit. While Frank, Dee and Mac try to survive in the woods, Dennis and Charlie hitch a ride to the city."
6,12,"""Dee Gives Birth""",Matt Shakman,"David Hornsby, Becky Mann & Audra Sielaff",2010/12/09,"Before Dee's baby arrives, The Gang tries to figure out who is the father by throwing a house party for all her former flings."
7,1,"""Frank's Pretty Woman""",Matt Shakman,Scott Marder & Rob Rosell,2011/09/15,"Frank wants to marry a prostitute and the gang can't talk him out of it. While Dee sets out to burnish the hooker's heart of gold, Charlie takes a different tack: He tries to set Frank up with another woman."
7,2,"""The Gang Goes to the Jersey Shore""",Matt Shakman,Dave Chernin & John Chernin,2011/09/22,"Dee and Dennis take the gang to their favorite childhood vacation spot on the Jersey Shore. Things aren't quite as they remember them. Still, Mac, Frank and Charlie have the times of their lives; Dee and Dennis not so much."
7,3,"""Frank Reynolds' Little Beauties""",Matt Shakman,Scott Marder & Rob Rosell,2011/09/29,Frank finds himself in the child beauty-pageant business and fears that people might think that he's in it for the wrong reasons.
7,4,"""Sweet Dee Gets Audited""",Matt Shakman,"Rob McElhenney, Glenn Howerton & Charlie Day",2011/10/06,"While Dee tries to weasel her way out of an IRS audit, the guys set up a new (and, they say, democratic) way of running Paddy's."
7,5,"""Frank's Brother""",Matt Shakman,David Hornsby,2011/10/13,Frank's long-lost brother shows up unexpectedly and spills family secrets.
7,6,"""The Storm of the Century""",Matt Shakman,Charles W. Hornsby,2011/10/20,"It's not always sunny in Philadelphia: An apocalyptic storm is bearing down on the City of Brotherly Love, and everyone's in panic mode -- except for Frank."
7,7,"""Chardee MacDennis: The Game of Games""",Matt Shakman,Charlie Day & Rob McElhenney,2011/10/27,"Another rainy day in Philadelphia. The gang can't go out and play, so they stay indoors and play a board game of their own devising."
7,8,"""The ANTI-Social Network""",Matt Shakman,Charlie Day & Glenn Howerton,2011/11/03,"While Dennis and Charlie track down an annoying shusher the old-fashioned way, Dee and Mac cyberstalk him. Frank is online as well, trying to boost business at the bar."
7,9,"""The Gang Gets Trapped""",Matt Shakman,Luvh Rakhe,2011/11/10,"The gang sneak into a residence to ""extract"" an ""artifact,"" only to discover that someone is home. Uh-oh."
7,10,"""How Mac Got Fat""",Randall Einhorn & Matt Shakman,Scott Marder & Mehar Sethi,2011/11/17,Mac tells a befuddled priest why his fatness is the fault of the other members of the gang.
7,11,"""Thunder Gun Express""",Matt Shakman,Dave Chernin & John Chernin,2011/12/01,"Traffic problems as a result of the President's visit to Philadelphia makes it difficult for The Gang to see the summer's biggest film - ""Thunder Gun Express""."
7,12,"""The High School Reunion""",Matt Shakman,Glenn Howerton & Rob McElhenney,2011/12/08,The Gang attends their high school reunion with a lot to prove. Old friends are met and new foes are made as the gang trips down memory lane.
7,13,"""The High School Reunion Part 2: The Gang's Revenge""",Matt Shakman,Glenn Howerton & Rob McElhenney,2011/12/15,The Gang hatches a plan to repair their tarnished image in the eyes of their old high school classmates.
8,1,"""Pop-Pop: The Final Solution""",Matt Shakman,"Charlie Day, Glenn Howerton, & Rob McElhenney",2012/10/11,"Dennis and Dee's ailing grandfather Pop-Pop is wasting away in the hospital, and they have to decide whether or not to pull the plug."
8,2,"""The Gang Recycles Their Trash""",Matt Shakman,"Charlie Day, Glenn Howerton, & Rob McElhenney",2012/10/18,Frank concocts a plan to undercut the garbage men union and get the contract to collect the city's trash.
8,3,"""The Maureen Ponderosa Wedding Massacre""",Richie Keen,"Charlie Day, Glenn Howerton, & Rob McElhenney",2012/10/25,Dennis and the gang crash Maureen's wedding so he can sever all ties.
8,4,"""Charlie and Dee Find Love""",Richie Keen,"Charlie Day, Glenn Howerton, & Rob McElhenney",2012/11/01,"Charlie and Dee find a romantic connection with two members of one of Philly's wealthiest families; Mac, Dennis and Frank try to get a piece of the action."
8,5,"""The Gang Gets Analyzed""",Todd Biermann,Luvh Rakhe,2012/11/08,The Gang step into the therapist's office to work through their mountain of issues; Dennis' psychology is exposed as abnormal indeed.
8,6,"""Charlie's Mom Has Cancer""",Richie Keen,Scott Marder & Rob Rosell,2012/11/15,The Gang rallies around Charlie's mom as she battles cancer; Frank loses his memory and his mind in a quest for buried treasure.
8,7,"""Frank's Back in Business""",Richie Keen,Dave Chernin & John Chernin,2012/11/29,"With Charlie under his wing, Frank cleans up so he can get his hands dirty and help out his old company with one last big merger."
8,8,"""Charlie Rules the World""",Matt Shakman,David Hornsby,2012/12/06,"After slipping into an unhealthy obsession with computer games, The Gang wrestles to define the difference between the real and the virtual worlds."
8,9,"""The Gang Dines Out""",Matt Shakman,Mehar Sethi,2012/12/13,"Every member of The Gang has something to celebrate at Guigino's, Philly's finest eatery."
